index_shangche,label_shangche,name,lat,lon,index_xiache,label_xiache,pop_dens,age_0_19,age_20_39,age_40_59,age_60,lu_comm,lu_res,lu_work,lu_pub,dis_pop,dis_poi
3129,6,花家地西里二区,39.984852,116.457232,3129,5,16932,0.14,0.38,0.25,0.23,0.12,0.41,0.32,0.15,8.83,10.54
3130,3,阜安西路,39.995923,116.472793,3130,3,5411,0.16,0.34,0.25,0.25,0.19,0.3,0.34,0.17,10.63,12.35
3131,3,望京西园三区东门,39.999693,116.472759,3131,3,5399,0.14,0.38,0.26,0.22,0.19,0.28,0.36,0.17,10.88,12.63
3132,3,来广营路口南,40.018361,116.461034,3132,3,5118,0.16,0.32,0.28,0.24,0.17,0.31,0.35,0.17,11.62,13.56
3133,3,地铁善各庄站,40.026167,116.469859,3133,3,5290,0.16,0.35,0.26,0.23,0.18,0.32,0.31,0.19,12.77,14.7
3134,7,兴隆家园南区,39.908684,116.516723,3134,7,22703,0.17,0.38,0.24,0.21,0.1,0.46,0.3,0.14,12.69,12.8
3138,5,颐和园西门,39.984558,116.255331,3138,5,10265,0.14,0.41,0.23,0.22,0.14,0.32,0.38,0.16,11.27,11.95
3139,5,北坞村,39.98284,116.253381,3139,5,10903,0.13,0.38,0.25,0.24,0.13,0.34,0.37,0.16,11.33,11.97
3140,5,北坞村西站,39.981589,116.250312,3140,5,11976,0.15,0.37,0.27,0.21,0.14,0.32,0.38,0.16,11.51,12.11
3141,5,北坞嘉园,39.979715,116.243662,3141,5,10814,0.15,0.42,0.19,0.24,0.13,0.36,0.35,0.16,11.95,12.47
3142,5,茶棚路,39.97664,116.242205,3142,5,11888,0.13,0.38,0.26,0.23,0.14,0.31,0.39,0.16,11.94,12.39
3143,5,五福路,39.938647,116.279538,3143,6,10553,0.16,0.36,0.24,0.24,0.13,0.28,0.44,0.15,7.98,7.77
3144,5,五路居路东口,39.937324,116.280886,3144,6,11763,0.14,0.35,0.3,0.21,0.15,0.31,0.38,0.16,7.86,7.62
3145,5,颐慧佳园路南口,39.934736,116.28223,3145,6,10004,0.17,0.39,0.22,0.22,0.15,0.3,0.4,0.15,7.76,7.44
3146,5,五路居南街南口,39.932901,116.279228,3146,6,10765,0.15,0.34,0.3,0.21,0.13,0.29,0.43,0.15,8.03,7.65
3147,5,花园路北口,39.98371,116.35933,3147,5,10210,0.14,0.37,0.28,0.21,0.15,0.33,0.36,0.16,5.16,7.13
3148,6,赵登禹路北口,39.936318,116.362183,3148,4,16974,0.14,0.35,0.29,0.22,0.11,0.44,0.29,0.16,0.96,1.88
3149,6,宝产胡同,39.9344,116.36203,3149,4,16310,0.14,0.38,0.25,0.23,0.11,0.43,0.32,0.14,1.05,1.68
3150,6,祖家街,39.92906,116.361469,3150,4,16391,0.13,0.35,0.31,0.21,0.12,0.43,0.3,0.15,1.44,1.14
3151,6,报子胡同,39.924978,116.359872,3151,4,17128,0.14,0.36,0.29,0.21,0.11,0.42,0.32,0.15,1.88,0.85
3152,6,丰盛胡同,39.915859,116.358237,3152,4,17331,0.14,0.4,0.21,0.25,0.11,0.41,0.33,0.15,2.82,0.89
3153,6,内环西路北口,39.833664,116.278446,3153,4,15652,0.14,0.4,0.23,0.23,0.12,0.41,0.32,0.15,14.18,12.22
3154,6,中核路口东,39.830692,116.278481,3154,4,17811,0.14,0.38,0.24,0.24,0.11,0.45,0.3,0.14,14.45,12.48
3155,6,航丰路口,39.828077,116.277342,3155,4,15057,0.13,0.36,0.29,0.22,0.12,0.41,0.31,0.16,14.75,12.77
3156,6,海鹰路口,39.824971,116.280007,3156,4,17710,0.12,0.39,0.24,0.25,0.11,0.43,0.32,0.14,14.92,12.92
3157,6,总部基地六区,39.823782,116.282782,3157,4,17329,0.13,0.39,0.26,0.22,0.11,0.42,0.32,0.15,14.9,12.89
3158,6,总部基地金融港,39.823762,116.28613,3158,4,15146,0.14,0.39,0.24,0.23,0.12,0.42,0.32,0.14,14.76,12.73
3159,6,地铁丰台科技园站,39.823883,116.290143,3159,4,15683,0.12,0.36,0.29,0.23,0.12,0.43,0.3,0.15,14.58,12.54
3160,6,中海九号公馆小区,39.817897,116.291764,3160,4,17886,0.12,0.41,0.26,0.21,0.1,0.44,0.3,0.16,15.1,13.04
3161,6,六圈南路中口,39.812576,116.292755,3161,4,17338,0.12,0.4,0.25,0.23,0.12,0.44,0.3,0.14,15.59,13.52
3162,6,郭公庄西,39.809835,116.293315,3162,4,15938,0.12,0.36,0.29,0.23,0.11,0.43,0.29,0.17,15.84,13.77
3163,6,丰葆路东口,39.805292,116.294288,3163,4,17255,0.13,0.41,0.21,0.25,0.11,0.42,0.32,0.15,16.27,14.18
3164,6,康润家园,39.795448,116.297747,3164,4,15700,0.14,0.39,0.22,0.25,0.1,0.42,0.33,0.15,17.16,15.05
3165,6,高鑫家园,39.791316,116.299042,3165,4,16734,0.13,0.39,0.23,0.25,0.11,0.4,0.34,0.15,17.54,15.43
3166,6,羊坊村,39.785486,116.300668,3166,4,15165,0.12,0.42,0.22,0.24,0.1,0.42,0.34,0.14,18.1,15.99
3167,6,郭公庄路北口,39.786269,116.307787,3167,4,16439,0.14,0.42,0.23,0.21,0.12,0.41,0.33,0.14,17.82,15.7
3168,4,金安桥北,39.92495,116.154961,3168,6,9144,0.16,0.38,0.26,0.2,0.15,0.24,0.44,0.17,18.66,18.12
3169,4,金顶路西口,39.924973,116.156495,3169,6,8175,0.17,0.36,0.26,0.21,0.16,0.26,0.43,0.15,18.53,17.99
3170,4,金顶街五区,39.92495,116.159543,3170,6,9383,0.16,0.4,0.22,0.22,0.14,0.25,0.45,0.16,18.27,17.73
3171,5,苹果园北,39.927303,116.179061,3171,5,11727,0.14,0.37,0.25,0.24,0.14,0.32,0.38,0.16,16.59,16.07
3172,5,八角北路西口,39.916597,116.186519,3172,5,11746,0.14,0.42,0.22,0.22,0.14,0.33,0.36,0.17,16.1,15.42
3173,5,八角北路西站,39.916215,116.190629,3173,5,11340,0.14,0.42,0.23,0.21,0.15,0.33,0.35,0.17,15.76,15.07
3174,5,七星东街,39.897325,116.210262,3174,6,11328,0.17,0.4,0.2,0.23,0.14,0.27,0.43,0.16,14.62,13.63
3175,5,衙门口上街,39.894542,116.20783,3175,6,10331,0.14,0.4,0.24,0.22,0.13,0.3,0.43,0.14,14.92,13.89
3176,5,芳园西街南口,39.89548,116.215875,3176,6,11167,0.15,0.39,0.24,0.22,0.16,0.28,0.41,0.15,14.24,13.2
3177,5,大成路西口,39.888253,116.248784,3177,6,11775,0.14,0.38,0.26,0.22,0.15,0.29,0.42,0.14,11.98,10.7
3178,5,大成里,39.888273,116.255963,3178,6,11762,0.14,0.34,0.29,0.23,0.14,0.29,0.41,0.16,11.45,10.13
3179,8,大成路,39.888262,116.26067,3179,6,27070,0.17,0.39,0.2,0.24,0.06,0.48,0.3,0.16,11.1,9.75
3180,5,靛厂路西口,39.888215,116.270233,3180,6,11668,0.15,0.4,0.21,0.24,0.14,0.31,0.4,0.15,10.4,9
3181,5,靛厂新村,39.888287,116.275038,3181,6,11585,0.15,0.36,0.25,0.24,0.13,0.28,0.44,0.15,10.06,8.62
3182,5,靛厂村,39.888298,116.282398,3182,6,10890,0.15,0.36,0.27,0.22,0.15,0.27,0.42,0.16,9.54,8.05
3183,5,莲宝路口东,39.888312,116.290055,3183,6,10044,0.16,0.36,0.26,0.22,0.14,0.3,0.41,0.15,9.02,7.46
3184,5,马官营西,39.888444,116.296044,3184,6,11605,0.14,0.35,0.29,0.22,0.15,0.3,0.4,0.15,8.61,7.01
3185,8,吴家场路,39.891282,116.298,3185,6,26151,0.16,0.41,0.22,0.21,0.06,0.47,0.31,0.16,8.28,6.71
3186,8,吴家场路东口,39.89261,116.30272,3186,6,27358,0.16,0.36,0.26,0.22,0.07,0.48,0.3,0.15,7.88,6.29
3187,6,宏福路东口,39.788953,116.336777,3187,4,16366,0.13,0.42,0.22,0.23,0.11,0.41,0.33,0.15,16.92,14.79
3188,8,正商明苑,39.815349,116.358791,3188,6,27056,0.14,0.39,0.25,0.22,0.07,0.48,0.31,0.14,13.75,11.64
3189,6,槐房西路北站,39.820448,116.360106,3189,4,16822,0.14,0.36,0.26,0.24,0.1,0.43,0.32,0.15,13.17,11.07
3192,6,大观园公交场站,39.867999,116.345837,3192,4,15773,0.13,0.35,0.27,0.25,0.11,0.41,0.33,0.15,8.18,6.05
3193,2,远通桥西,39.90793,116.532037,3193,8,5335,0.14,0.42,0.23,0.21,0.21,0.14,0.51,0.14,13.97,14.11
